CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF,Id
,aguas marinas y continentales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aguas marinas y continentales,,,8268
,ai2 en colaboracion con el idf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ai2 en colaboracion con el idf,,,8269
,aigues de l horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aigues de l horta,,,8270
,aiken tecnologia ocular preventiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aiken tecnologia ocular preventiva,,,8271
,aix marseille universite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aix marseille universite,,,8272
,akademia wychowania fizycznego im bronislawa czecha w krakowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akademia wychowania fizycznego im bronislawa czecha w krakowie,,,8273
,alarcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alarcos,,,8274
,alava ingenieros s a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alava ingenieros s a,,,8275
,albert ludwigs universitat freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,albert ludwigs universitat freiburg,,,8276
,albert ludwigs universitat freiburg i b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,albert ludwigs universitat freiburg i b,,,8277
,albert ludwigs universitat freiburg universidad de friburgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,albert ludwigs universitat freiburg universidad de friburgo,,,8278
,alcazar de s juan puebla de almoradiel y consuegra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcazar de s juan puebla de almoradiel y consuegra,,,8279
,alfred wegener institute helmholtz centre for polar and marine research awi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alfred wegener institute helmholtz centre for polar and marine research awi,,,8280
,algora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algora,,,8281
,alhambra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alhambra,,,8282
,alma mater studiorum universita di bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alma mater studiorum universita di bologna,,,8283
,almansa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almansa,,,8284
,almodovar del campo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almodovar del campo,,,8285
,american university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american university,,,8286
,ames laboratory iowa state university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ames laboratory iowa state university,,,8287
,ampere power energy s l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ampere power energy s l,,,8288
,amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amsterdam,,,8289
,amsterdam institute for social science research university of amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amsterdam institute for social science research university of amsterdam,,,8290
,analog devices s l u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,analog devices s l u,,,8291
,anfaco cecopesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anfaco cecopesca,,,8292
,anglia ruskin university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anglia ruskin university,,,8293
,anhima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anhima,,,8294
,animalario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animalario,,,8295
,animalario de la universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animalario de la universidad de murcia,,,8296
,antigua facultad de magisterio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antigua facultad de magisterio,,,8297
,aplicaciones tecnologicas s a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aplicaciones tecnologicas s a,,,8298
,aplicaciones y proyectos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aplicaciones y proyectos,,,8299
,appalachian state university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,appalachian state university,,,8300
,applied chest imaging laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,applied chest imaging laboratory,,,8301
,applied rehabilitation technology lab art lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,applied rehabilitation technology lab art lab,,,8302
,aquactiva solutions sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aquactiva solutions sl,,,8303
,aquicultura cultius experimentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aquicultura cultius experimentals,,,8304
,aquicultura seguiment del medi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aquicultura seguiment del medi,,,8305
,arche philosophical research centre for logic language metaphysics and epistemology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arche philosophical research centre for logic language metaphysics and epistemology,,,8306
,area agrosistemas y medioambiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area agrosistemas y medioambiente,,,8307
,area biologia celular instituto de biomedicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area biologia celular instituto de biomedicina,,,8308
,area cientifica y tecnica de investigacion acti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area cientifica y tecnica de investigacion acti,,,8309
,area de biodiversidad conservacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de biodiversidad conservacion,,,8310
,area de bioinformatica de la fundacion progreso y salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de bioinformatica de la fundacion progreso y salud,,,8311
,area de biologia animal facultad de veteriaria universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de biologia animal facultad de veteriaria universidad de murcia,,,8312
,area de derecho mercantil del depto de derecho privado de la universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de derecho mercantil del depto de derecho privado de la universidad de murcia,,,8313
,area de derecho mercantil depto de derecho privado universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de derecho mercantil depto de derecho privado universidad de murcia,,,8314
,area de farmacologia nutricion y bromatologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de farmacologia nutricion y bromatologia,,,8315
,area de inmunologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de inmunologia,,,8316
,area de instrumentacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de instrumentacion,,,8317
,area de investigacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de investigacion,,,8318
,area de investigacion e instrumentacion atmosferica aiia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de investigacion e instrumentacion atmosferica aiia,,,8319
,area de investigacion en peligrosidad y riesgos geologicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de investigacion en peligrosidad y riesgos geologicos,,,8320
,area de tecnologias de la informacion y las comunicaciones aplicadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de tecnologias de la informacion y las comunicaciones aplicadas,,,8321
,area de unidad tecnica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de unidad tecnica,,,8322
,area de variabilidad del adn humano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area de variabilidad del adn humano,,,8323
,area industrias alimentarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area industrias alimentarias,,,8324
,area produccion animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area produccion animal,,,8325
,area produccion vegetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area produccion vegetal,,,8326
,aristotle university of thessaloniki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aristotle university of thessaloniki,,,8327
,arizona state university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arizona state university,,,8328
,arizona state university asu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arizona state university asu,,,8329
,arm ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm ltd,,,8330
,arqueouib laboratori de prehistoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arqueouib laboratori de prehistoria,,,8331
,arquitectura de computadores electronica y tecnologia electronica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arquitectura de computadores electronica y tecnologia electronica,,,8332
,arts and humanities faculty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arts and humanities faculty,,,8333
,asoc empresarial de investigacion centro tecnologico nacional agroalimentario extremadura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asoc empresarial de investigacion centro tecnologico nacional agroalimentario extremadura,,,8334
,asoc nacional fabricantes conservas pescados e mariscos centro tecnoloxico anfaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asoc nacional fabricantes conservas pescados e mariscos centro tecnoloxico anfaco,,,8335
,asoc nacional fabricantes conservas pescados y mariscos anfaco cecopesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asoc nacional fabricantes conservas pescados y mariscos anfaco cecopesca,,,8336
,asociacion centro de investigacion coop biomateriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asociacion centro de investigacion coop biomateriales,,,8337
