CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF,Id
,centro de investigacion del deporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion del deporte,,,8782
,centro de investigacion del transporte transyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion del transporte transyt,,,8783
,centro de investigacion e innovacion en bioingenieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion e innovacion en bioingenieria,,,8784
,centro de investigacion e innovacion en bioingenieria ci2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion e innovacion en bioingenieria ci2b,,,8785
,centro de investigacion en biologia y biotecnologia marinas experimentales pie upv ehu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en biologia y biotecnologia marinas experimentales pie upv ehu,,,8786
,centro de investigacion en biotecnologia agroalimentaria bital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en biotecnologia agroalimentaria bital,,,8787
,centro de investigacion en biotecnologia y genomica de plantas cbgp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en biotecnologia y genomica de plantas cbgp,,,8788
,centro de investigacion en cooperacion internacional al desarrollo educativo cicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en cooperacion internacional al desarrollo educativo cicide,,,8789
,centro de investigacion en criminologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en criminologia,,,8790
,centro de investigacion en encefalopatias y enfermedades transmisibles emergentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en encefalopatias y enfermedades transmisibles emergentes,,,8791
,centro de investigacion en energia solar ciesol y escuela superior de ingenieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en energia solar ciesol y escuela superior de ingenieria,,,8792
,centro de investigacion en filosofia y derecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en filosofia y derecho,,,8793
,centro de investigacion en ingenieria mecanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en ingenieria mecanica,,,8794
,centro de investigacion en materiales estructurales cime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en materiales estructurales cime,,,8795
,centro de investigacion en metodos de produccion se sotware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en metodos de produccion se sotware,,,8796
,centro de investigacion en nanociencia y nanotecnologia cin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en nanociencia y nanotecnologia cin2,,,
,centro de investigacion en nanomateriales y nanotecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en nanomateriales y nanotecnologia,,,
,centro de investigacion en nanomateriales y nanotecnologia cinn csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en nanomateriales y nanotecnologia cinn csic,,,
,centro de investigacion en nutricion cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en nutricion cin,,,
,centro de investigacion en optica y nanofisica cioyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en optica y nanofisica cioyn,,,
,centro de investigacion en quimica molecular aplicada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en quimica molecular aplicada,,,
,centro de investigacion en salud ceinsaual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en salud ceinsaual,,,
,centro de investigacion en sanidad animal cisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en sanidad animal cisa,,,
,centro de investigacion en tecnologia de la informacion citius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnologia de la informacion citius,,,
,centro de investigacion en tecnologia de vehiculos citv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnologia de vehiculos citv,,,
,centro de investigacion en tecnologias de la informacion y las comunicaciones citic ugr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnologias de la informacion y las comunicaciones citic ugr,,,
,centro de investigacion en tecnologias del software y sistemas multimedia para la sostenibilidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnologias del software y sistemas multimedia para la sostenibilidad,,,
,centro de investigacion en tecnologias graficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnologias graficas,,,
,centro de investigacion en tecnoloxias da informacion e comunicacions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion en tecnoloxias da informacion e comunicacions,,,
,centro de investigacion energetica medioambiental y tecnologica ciemat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion energetica medioambiental y tecnologica ciemat,,,
,centro de investigacion forestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion forestal,,,
,centro de investigacion forestal cifor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion forestal cifor,,,
,centro de investigacion interdisciplinar para el desarrollo universitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion interdisciplinar para el desarrollo universitario,,,
,centro de investigacion la orden valdesequera cicytex la orden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion la orden valdesequera cicytex la orden,,,
,centro de investigacion macua xirima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion macua xirima,,,
,centro de investigacion mente cerebro y comportamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion mente cerebro y comportamiento,,,
,centro de investigacion mente cerebro y comportamiento brain behavior and health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion mente cerebro y comportamiento brain behavior and health,,,
,centro de investigacion mente cerebro y comportamiento cimcyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion mente cerebro y comportamiento cimcyc,,,
,centro de investigacion musical de la universidad de castilla la mancha cidom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion musical de la universidad de castilla la mancha cidom,,,
,centro de investigacion nebrija aerospace research and innovation in electronic systems aries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion nebrija aerospace research and innovation in electronic systems aries,,,
,centro de investigacion operativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion operativa,,,
,centro de investigacion para la educacion inclusiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion para la educacion inclusiva,,,
,centro de investigacion tecnologia e innovacion citius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion tecnologia e innovacion citius,,,
,centro de investigacion transferencia e innovacion citi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion transferencia e innovacion citi,,,
,centro de investigacion uam ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion uam ibm,,,
,centro de investigacion y desarrollo tecnologico del agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y desarrollo tecnologico del agua,,,
,centro de investigacion y documentacion musical cidom facultad de educacion de 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y documentacion musical cidom facultad de educacion de 13,,,
,centro de investigacion y documentacion musical cidom facultad de educacion de ciudad real uni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y documentacion musical cidom facultad de educacion de ciudad real uni,,,
,centro de investigacion y formacion agraria alameda del obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y formacion agraria alameda del obispo,,,
,centro de investigacion y tecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y tecnologia,,,
,centro de investigacion y tecnologia agroalimentaria de aragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y tecnologia agroalimentaria de aragon,,,
,centro de investigacion y tecnologia agroalimentaria de aragon cita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y tecnologia agroalimentaria de aragon cita,,,
,centro de investigacion y tecnologia animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y tecnologia animal,,,
,centro de investigacion y tecnologia cit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacion y tecnologia cit,,,
,centro de investigaciones biologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones biologicas,,,
,centro de investigaciones biologicas cib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones biologicas cib,,,
,centro de investigaciones biologicas cib integrated protein science for biomedicine and biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones biologicas cib integrated protein science for biomedicine and biotechnology,,,
,centro de investigaciones biologicas cib white biotechnology biotecnologia industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones biologicas cib white biotechnology biotecnologia industrial,,,
,centro de investigaciones biomedicas cinbio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones biomedicas cinbio,,,
,centro de investigaciones cardiovascular cic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones cardiovascular cic,,,
,centro de investigaciones cientificas avanzadas cica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones cientificas avanzadas cica,,,
,centro de investigaciones cientificas isla de la cartuja cic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones cientificas isla de la cartuja cic,,,
,centro de investigaciones cientificas y tecnologicas de extremadura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones cientificas y tecnologicas de extremadura,,,
,centro de investigaciones energeticas mediambientales y tecnologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones energeticas mediambientales y tecnologicas,,,
,centro de investigaciones energeticas medioambientales y tecnologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones energeticas medioambientales y tecnologicas,,,
,centro de investigaciones energeticas medioambientales y tecnologicas ciemat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones energeticas medioambientales y tecnologicas ciemat,,,
,centro de investigaciones energeticas medioambientales y tecnologicas o a m p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones energeticas medioambientales y tecnologicas o a m p,,,
,centro de investigaciones sobre desertificacion cide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones sobre desertificacion cide,,,
,centro de investigaciones sobre desertificacion cides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones sobre desertificacion cides,,,
,centro de investigaciones tecnologicas cit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigaciones tecnologicas cit,,,
,centro de investigacions cientificas avanzadas cica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacions cientificas avanzadas cica,,,
,centro de investigacions tecnoloxicas cit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de investigacions tecnoloxicas cit,,,
,centro de la imagen y la tecnologia mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de la imagen y la tecnologia mult,,,
,centro de magisterio maria inmaculada a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de magisterio maria inmaculada a,,,
,centro de matematica da universidade de coimbra cmuc https www uc pt fctuc dmat investigacao cmuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de matematica da universidade de coimbra cmuc https www uc pt fctuc dmat investigacao cmuc,,,
,centro de materiales y dispositivos avanzados para tecnologia de la informacion y comunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de materiales y dispositivos avanzados para tecnologia de la informacion y comunicaciones,,,
,centro de materiales y dispositivos avanzados para tecnologias de la informacion y comunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de materiales y dispositivos avanzados para tecnologias de la informacion y comunicaciones,,,
,centro de micro analisis de materiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de micro analisis de materiales,,,
,centro de micro analisis de materiales cmam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de micro analisis de materiales cmam,,,
,centro de microelectronica aplicada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de microelectronica aplicada,,,
,centro de neurociencias y biologia celular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de neurociencias y biologia celular,,,
,centro de politica de suelo y valoraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de politica de suelo y valoraciones,,,
,centro de posgrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de posgrado,,,
,centro de postgrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de postgrado,,,
,centro de postgrado y formacion continua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de postgrado y formacion continua,,,
,centro de produccion y experimentacion animal cpea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de produccion y experimentacion animal cpea,,,
,centro de proteccion vegetal y biotecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de proteccion vegetal y biotecnologia,,,
,centro de quimica aplicada y biotecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de quimica aplicada y biotecnologia,,,
,centro de quimica de evora universidade de evora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de quimica de evora universidade de evora,,,
,centro de quimica organica lora tamayo cenquior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de quimica organica lora tamayo cenquior,,,
,centro de quimica organica manuel lora tamayo cenquior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de quimica organica manuel lora tamayo cenquior,,,
,centro de quimica y materiales de aragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de quimica y materiales de aragon,,,
,centro de recursos fitogeneticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de recursos fitogeneticos,,,
,centro de recursos fitogeneticos crf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de recursos fitogeneticos crf,,,
,centro de servicios de informatica y redes de comunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de servicios de informatica y redes de comunicaciones,,,
,centro de simulacion computacional csc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de simulacion computacional csc,,,
,centro de supercomputacion y visualizacion de madrid cesvima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de supercomputacion y visualizacion de madrid cesvima,,,
,centro de tecnologia biomedica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologia biomedica,,,
,centro de tecnologia biomedica ctb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologia biomedica ctb,,,
,centro de tecnologia biomedica ctb laboratorio de neurociencia cognitiva y computacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologia biomedica ctb laboratorio de neurociencia cognitiva y computacional,,,
,centro de tecnologia nanofotonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologia nanofotonica,,,
,centro de tecnologia poscosecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologia poscosecha,,,
,centro de tecnologias fisicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de tecnologias fisicas,,,
,centro de vigilancia sanitaria veterinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de vigilancia sanitaria veterinaria,,,
,centro de vigilancia sanitaria veterinaria visavet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de vigilancia sanitaria veterinaria visavet,,,
,centro de vigilancia sanitaria veterinaria visavet ucm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro de vigilancia sanitaria veterinaria visavet ucm,,,
,centro em rede de investigacao em antropologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro em rede de investigacao em antropologia,,,
,centro especial investigacion planta de tecnologia alimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro especial investigacion planta de tecnologia alimentos,,,
,centro estudio organizaciones y decisiones economicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro estudio organizaciones y decisiones economicas,,,
,centro estudios territoriales iberoamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro estudios territoriales iberoamericano,,,
,centro estudios territoriales iberoamericano facultad de humanidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro estudios territoriales iberoamericano facultad de humanidades,,,
,centro etopia de zaragoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro etopia de zaragoza,,,
,centro experimental de comunicaciones inalambricas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro experimental de comunicaciones inalambricas,,,
,centro experimental el arenosillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro experimental el arenosillo,,,
,centro extremeno de tecnologias avanzadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro extremeno de tecnologias avanzadas,,,
,centro hispano luso de investigaciones agrarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro hispano luso de investigaciones agrarias,,,
,centro iberoamericano de la biodiversidad cibio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro iberoamericano de la biodiversidad cibio,,,
,centro instrumental quimico fisico desarrollo inv aplicada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro instrumental quimico fisico desarrollo inv aplicada,,,
,centro internacional de estudios sobre patrimonio cultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro internacional de estudios sobre patrimonio cultural,,,
,centro internacional de metodos numericos en ingenieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro internacional de metodos numericos en ingenieria,,,
,centro internacional de postgrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro internacional de postgrado,,,
,centro investigacion biomedica en red enfermedades neurodegenerativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro investigacion biomedica en red enfermedades neurodegenerativas,,,
,centro investigacion en sanidad animal cisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro investigacion en sanidad animal cisa,,,
,centro investigacion y desarrollo agrario udl irta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro investigacion y desarrollo agrario udl irta,,,
,centro jouy en josas de inra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro jouy en josas de inra,,,
,centro laser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro laser,,,
,centro laser upm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro laser upm,,,
,centro mediterraneo de investigaciones marinas y ambientales cmima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro mediterraneo de investigaciones marinas y ambientales cmima,,,
,centro mixto ucm isciii de evolucion y comportamiento humano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro mixto ucm isciii de evolucion y comportamiento humano,,,
,centro mixto ucm isciii de evolucion y comportamiento humanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro mixto ucm isciii de evolucion y comportamiento humanos,,,
,centro nacional de aceleradores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de aceleradores,,,
,centro nacional de analisis genomica cnag crg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de analisis genomica cnag crg,,,
,centro nacional de analisis genomico cnag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de analisis genomico cnag,,,
,centro nacional de biotecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de biotecnologia,,,
,centro nacional de biotecnologia cnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de biotecnologia cnb,,,
,centro nacional de biotecnologia cnb centro nacional de biotecnologia cnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de biotecnologia cnb centro nacional de biotecnologia cnb,,,
,centro nacional de biotecnologia cnb csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de biotecnologia cnb csic,,,
,centro nacional de epidemiologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de epidemiologia,,,
,centro nacional de epidemiologia y ciberesp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de epidemiologia y ciberesp,,,
,centro nacional de experimentacion de tecnologias de hidrogeno y pilas de combustible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de experimentacion de tecnologias de hidrogeno y pilas de combustible,,,
,centro nacional de investigacion cardiovascular cnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigacion cardiovascular cnic,,,
,centro nacional de investigacion oncologicas cnio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigacion oncologicas cnio,,,
,centro nacional de investigaciones cardiovasculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares,,,
,centro nacional de investigaciones cardiovasculares carlos iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares carlos iii,,,
,centro nacional de investigaciones cardiovasculares carlos iii cnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares carlos iii cnic,,,
,centro nacional de investigaciones cardiovasculares carlos iii f s p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares carlos iii f s p,,,
,centro nacional de investigaciones cardiovasculares carlos iii madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares carlos iii madrid,,,
,centro nacional de investigaciones cardiovasculares cnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones cardiovasculares cnic,,,
,centro nacional de investigaciones metalurgicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones metalurgicas,,,
,centro nacional de investigaciones metalurgicas cenim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro nacional de investigaciones metalurgicas cenim,,,
