Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
8233,,agencia estatal consejo superior de inve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agencia estatal consejo superior de inve,,
8234,,agencia estatal consejo superior de investigaciones cientificas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agencia estatal consejo superior de investigaciones cientificas,,
8235,,agencia estatal consejo superior de investigaciones cientificas csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agencia estatal consejo superior de investigaciones cientificas csic,,
8236,,agencia estatal consejo superior de investigaciones cientificas m p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agencia estatal consejo superior de investigaciones cientificas m p,,
8237,,agencia estatal csic ipla csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agencia estatal csic ipla csic,,
8238,,agr asoc nacional fabricantes conservas pescados y mariscos anfaco cecopesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr asoc nacional fabricantes conservas pescados y mariscos anfaco cecopesca,,
8239,,agr asociacion centro de investigacion coop biomateriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr asociacion centro de investigacion coop biomateriales,,
8240,,agr asociacion centro de investigacion coop biomateriales agr asociacion centro de investigacion coop biomateriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr asociacion centro de investigacion coop biomateriales agr asociacion centro de investigacion coop biomateriales,,
8241,,agr centre internacional de metodes numerics a l enginyeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr centre internacional de metodes numerics a l enginyeria,,
8242,,agr centre internacional de metodes numerics a l enginyeria agr centre internacional de metodes numerics a l enginyeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr centre internacional de metodes numerics a l enginyeria agr centre internacional de metodes numerics a l enginyeria,,
8243,,agr centro de investigacion y tecnologia agroalimentaria de aragon cita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr centro de investigacion y tecnologia agroalimentaria de aragon cita,,
8244,,agr ciber enfermedades neurodegenerativas ciberned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr ciber enfermedades neurodegenerativas ciberned,,
8245,,agr consorcio ciber para el area tematica de salud mental cibersam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr consorcio ciber para el area tematica de salud mental cibersam,,
8246,,agr consorcio para el diseno la construccion equipamiento y explotacion plataforma oceanica canari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr consorcio para el diseno la construccion equipamiento y explotacion plataforma oceanica canari,,
8247,,agr fundacio parc tecnologic del vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacio parc tecnologic del vi,,
8248,,agr fundacio per a la universitat oberta de catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacio per a la universitat oberta de catalunya,,
8249,,agr fundacio privada centre de regulacio genomica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacio privada centre de regulacio genomica,,
8250,,agr fundacio privada institut de recerca biomedica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacio privada institut de recerca biomedica,,
