"Id_NIVEL_1";"Id_NIVEL_0";"ID_ENTIDAD_NIVEL_0";"ID_ENTIDAD_NIVEL_1";"Jerarquia";"NIF_COD_NIVEL_0";"ACRONIMO_NIVEL_0";"NOMBRE_ENTIDAD_NIVEL_0";"Nombre_Entidad_Mostrar_NIVEL_0";"TIPO_ENTIDAD_N1_1_NIVEL_0";"TIPO_ENTIDAD_N2_1_NIVEL_0";"DIRECCION_POSTAL_NIVEL_0";"COD_POSTAL_NIVEL_0";"COD_PROVINCIA_NIVEL_0";"PROVINCIA_NIVEL_0";"COD_CCAA_NIVEL_0";"CCAA_NIVEL_0";"ENLACE_WEB_NIVEL_0";"SOMMA_NIVEL_0";"TIPO_ENTIDAD_REGIONAL_NIVEL_0";"ESTADO_x_NIVEL_0";"NIF_COD_NIVEL_1";"ACRONIMO_NIVEL_1";"NOMBRE_ENTIDAD_NIVEL_1";"Nombre_Entidad_Mostrar_NIVEL_1";"TIPO_ENTIDAD_N1_1_NIVEL_1";"TIPO_ENTIDAD_N2_1_NIVEL_1";"DIRECCION_POSTAL_NIVEL_1";"COD_POSTAL_NIVEL_1";"COD_PROVINCIA_NIVEL_1";"PROVINCIA_NIVEL_1";"COD_CCAA_NIVEL_1";"CCAA_NIVEL_1";"ENLACE_WEB_NIVEL_1";"SOMMA_NIVEL_1";"TIPO_ENTIDAD_REGIONAL_NIVEL_1";"ESTADO_x_NIVEL_1"
"2014";"157";"157";"2065";"Nodos_ciber";"None";"INB ISCIII";"INSTITUTO NACIONAL DE BIOINFORMATICA INB";"Instituto Nacional de Bioinformática";"Organismo público de I+D Estatal";"Centro de investigación en red";"Carrer Jordi Girona, 29, Barcelona";"08034";"8.0";"Barcelona";"9.0";"Cataluña";"http://www.inb-elixir.es";"None";"None";"ACTIVO";"None";"GRIB";"RESEARCH PROGRAMME ON BIOMEDICAL INFORMATICS";"Research Programme on Biomedical Informatics";"Unidad/Grupo de Investigación";"Grupo Investigación mixto";"Dr. Aiguader, 88";"08003";"8.0";"Barcelona";"9.0";"Cataluña";"http://grib.imim.es/";"None";"None";"ACTIVO"
"1126";"880";"888";"1145";"Orgánica Directa";"Q5018001G";"UNIZAR";"Universidad de Zaragoza";"Universidad de Zaragoza";"Universidad";"Universidad Pública";"Calle de Pedro Cerbuna, 12";"50009";"50.0";"Zaragoza";"2.0";"Aragón";"https://www.unizar.es/";"None";"None";"ACTIVO";"None";"IPH";"None";"Instituto Universitario de Investigación en Patrimonio y Humanidades";"Centro de Investigación";"Centro/Instituto propio";"Calle Pedro Cerbuna, 12";"50009";"50.0";"Zaragoza";"2.0";"Aragón";"https://iphunizar.com/";"None";"None";"ACTIVO"
"1397";"861";"869";"1442";"Orgánica Directa";"Q3018001B";"UM";"Universidad de Murcia";"Universidad de Murcia";"Universidad";"Universidad Pública";"Avenida Teniente Flomesta, 5";"30003";"30.0";"Murcia";"14.0";"Murcia, Región de";"https://www.um.es/";"None";"None";"ACTIVO";"None";"CEDESTE";"None";"Centro de Estudios para el Desarrollo de la Superdotación, el Talento y la Excelencia";"Centro de Investigación";"Centro/Instituto Propio";"Campus Universitario de Espinardo";"30100";"30.0";"Murcia";"14.0";"Murcia, Región de";"https://www.um.es/web/cedeste/";"None";"None";"ACTIVO"
"463";"244";"246";"468";"Orgánica Directa";"Q2827015E";"ISCIII";"INSTITUTO DE SALUD CARLOS III OA MP ISCIII";"Instituto de Salud Carlos III (ISCIII)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle Sinesio Delgado, 4";"28029";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.isciii.es";"None";"None";"ACTIVO";"None";"CNE";"CENTRO NACIONAL DE EPIDEMIOLOGIA";"Centro Nacional de Epidemiología";"Centro de Investigación";"Centro/Instituto propio";"Calle de Melchor Fernández Almagro, 5";"28029";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.isciii.es/QuienesSomos/CentrosPropios/CNE/Paginas/default.aspx";"None";"None";"ACTIVO"
"981";"237";"239";"995";"Orgánica Directa";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"Q5850011G";"CREAF";"CONSORCI CENTRE DE RECERCA ECOLOGICA I APLICACIONS FORESTALS CREAF";"Centre de Recerca Ecològica i Aplicacions Forestals";"Organismo de I+D Regional";"Centro/Instituto mixto";"Campus de la UAB, Cerdanyola del Vallès";"08193";"8.0";"Barcelona";"9.0";"Cataluña";"http://www.creaf.cat/";"Centro Severo Ochoa";"CERCA";"ACTIVO"
"1519";"832";"840";"1568";"Orgánica Directa";"Q2818018J";"UAH";"Universidad de Alcalá";"Universidad de Alcalá";"Universidad";"Universidad Pública";"Plaza de San Diego, s/n, Alcalá de Henares";"28801";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.uah.es/es/";"None";"None";"ACTIVO";"None";"None";"None";"Centro de Química Aplicada y Biotecnología";"Centro de Investigación";"Centro/Instituto Propio";"Carretera N-II, km 33,6";"28871";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.uah.es/es/investigacion/unidades-de-investigacion/centros-de-apoyo-a-la-investigacion/Centro-de-Quimica-Aplicada-y-Biotecnologia/";"None";"None";"ACTIVO"
"715";"175";"176";"722";"Nodos_ciber";"G84884501";"CIBERES";"CIBER ENFERMEDADES RESPIRATORIAS CIBERES";"CIBER Enfermedades Respiratorias";"Organismo público de I+D Estatal";"Centro de investigación en red";"Instituto de Salud Carlos III, Calle Monforte de Lemos 3-5";"20014";"20.0";"Gipuzkoa";"16.0";"País Vasco";"http://www.ciberes.org";"None";"None";"ACTIVO";"None";"I3PT";"INSTITUTO DE INVESTIGACION E INNOVACION PARC TAULI (I3PT)";"Instituto de Investigación e Innovación Parc Tauli";"Instituto de Investigación Sanitaria (IIS)";"Instituto de Investigación Sanitaria no Acreditado";"Parque del Taulí, 1, 2ª planta, Sabadell";"08208";"8.0";"Barcelona";"9.0";"Cataluña";"http://www.tauli.cat/es/institut/";"None";"None";"ACTIVO"
"1720";"873";"881";"1770";"Orgánica Indirecta";"Q9350003A";"URV";"Universidad Rovira i Virgili";"Universidad Rovira i Virgili";"Universidad";"Universidad Pública";"Carrer de l'Escorxador, s/n";"43007";"43.0";"Tarragona";"9.0";"Cataluña";"https://www.urv.cat/es/";"None";"None";"ACTIVO";"None";"None";"None";"Biobanco Fundación Instituto de Investigación Sanitaria Pere Virgili";"Infraestructura";"Infraestructura propia";"Avinguda de la Universitat, 1, Reus";"43204";"43.0";"Tarragona";"9.0";"Cataluña";"https://www.iispv.cat/plataforma-de-suport/biobanc-iispv/";"None";"None";"NO ACTIVO"
"969";"868";"876";"983";"Orgánica Directa";"Q2818015F";"UPM";"Universidad Politécnica de Madrid";"Universidad Politécnica de Madrid";"Universidad";"Universidad Pública";"Calle Ramiro de Maeztu, 7";"28040";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.upm.es";"None";"None";"ACTIVO";"None";"MAGERIT - CeSViMa";"Magerit en el Centro de Supercomputación y Visualización de Madrid (CesViMa)";"Supercomputador Magerit en el Centro de Supercomputación y Visualización de Madrid";"Infraestructura";"Infraestructura propia";"Campus de Montegancedo, Pozuelo de Alarcón";"28223";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.cesvima.upm.es/";"None";"None";"ACTIVO"
"996";"237";"239";"1010";"Orgánica Directa";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"None";"IDAEA";"INSTITUTO DE DIAGNOSTICO AMBIENTAL Y ESTUDIOS DEL AGUA";"Instituto de Diagnóstico Ambiental y Estudios del Agua";"Centro de Investigación";"Centro/Instituto propio";"Carrer de Jordi Girona, 18-26";"08034";"8.0";"Barcelona";"9.0";"Cataluña";"https://www.idaea.csic.es/";"Centro Severo Ochoa";"None";"ACTIVO"
