"Id_NIVEL_1";"Id_NIVEL_0";"ID_ENTIDAD_NIVEL_0";"ID_ENTIDAD_NIVEL_1";"Jerarquia";"NIF_COD_NIVEL_0";"ACRONIMO_NIVEL_0";"NOMBRE_ENTIDAD_NIVEL_0";"Nombre_Entidad_Mostrar_NIVEL_0";"TIPO_ENTIDAD_N1_1_NIVEL_0";"TIPO_ENTIDAD_N2_1_NIVEL_0";"DIRECCION_POSTAL_NIVEL_0";"COD_POSTAL_NIVEL_0";"COD_PROVINCIA_NIVEL_0";"PROVINCIA_NIVEL_0";"COD_CCAA_NIVEL_0";"CCAA_NIVEL_0";"ENLACE_WEB_NIVEL_0";"SOMMA_NIVEL_0";"TIPO_ENTIDAD_REGIONAL_NIVEL_0";"ESTADO_x_NIVEL_0";"NIF_COD_NIVEL_1";"ACRONIMO_NIVEL_1";"NOMBRE_ENTIDAD_NIVEL_1";"Nombre_Entidad_Mostrar_NIVEL_1";"TIPO_ENTIDAD_N1_1_NIVEL_1";"TIPO_ENTIDAD_N2_1_NIVEL_1";"DIRECCION_POSTAL_NIVEL_1";"COD_POSTAL_NIVEL_1";"COD_PROVINCIA_NIVEL_1";"PROVINCIA_NIVEL_1";"COD_CCAA_NIVEL_1";"CCAA_NIVEL_1";"ENLACE_WEB_NIVEL_1";"SOMMA_NIVEL_1";"TIPO_ENTIDAD_REGIONAL_NIVEL_1";"ESTADO_x_NIVEL_1"
"371";"237";"239";"375";"Orgánica Directa";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"None";"ICMA";"INSTITUTO DE CIENCIA DE MATERIALES DE ARAGON";"Instituto de Ciencia de Materiales de Aragón";"Centro de Investigación";"Centro/Instituto mixto";"Calle de Pedro Cerbuna, 12";"50009";"50.0";"Zaragoza";"2.0";"Aragón";"http://icma.unizar-csic.es/";"None";"None";"NO ACTIVO"
"324";"237";"239";"328";"Orgánica Directa";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"None";"CCHS_IEGD";"INSTITUTO DE ECONOMIA GEOGRAFIA Y DEMOGRAFIA";"Instituto de Economía, Geografía y Demografía";"Centro de Investigación";"Centro/Instituto propio";"Calle de Albasanz, 26";"28037";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"http://iegd.csic.es";"None";"None";"ACTIVO"
"966";"1297";"1325";"980";"Nodo de ICTS en Red";"None";"RES";"Red Española de Supercomputación (RES)";"Red Española de Supercomputación (RES)";"Infraestructura Científico Técnica Singular (ICTS)";"ICTS en Red";"None";"None";"None";"None";"None";"Sin localización única";"https://www.res.es/";"None";"None";"ACTIVO";"None";"ALTAMIRA";"Altamira en la Universidad de Cantabria (UC)";"Clúster HPC Altamira en el Instituto de Física de la Universidad de Cantabria";"Infraestructura";"Infraestructura propia";"Avenida de los Castros, s/n";"39005";"39.0";"Cantabria";"6.0";"Cantabria";"https://www.res.es/es/nodos-de-la-res/altamira";"None";"None";"ACTIVO"
"1002";"237";"239";"1016";"Orgánica Directa";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"None";"IRI";"INSTITUTO DE ROBOTICA E INFORMATICA INDUSTRIAL IRI";"Instituto de Robótica e Informática Industrial";"Centro de Investigación";"Centro/Instituto mixto";"Carrer de Llorens i Artigas, 4, Barcelona";"08028";"8.0";"Barcelona";"9.0";"Cataluña";"https://www.iri.upc.edu/";"Centro María de Maeztu";"None";"ACTIVO"
"2019";"977";"991";"2070";"Orgánica Directa";"G63971451";"IRB BARCELONA";"FUNDACIO INSTITUT DE RECERCA BIOMEDICA IRB BARCELONA";"Institut de Recerca Biomèdica de Barcelona";"Organismo de I+D Regional";"Centro/Instituto mixto";"Parc Científic De Barcelona, Calle Baldiri Reixac 10";"08028";"8.0";"Barcelona";"9.0";"Cataluña";"https://www.irbbarcelona.org/es";"Centro Severo Ochoa";"CERCA";"ACTIVO";"None";"MMB";"MOLECULAR MODELING AND BIOINFORMATICS";"Molecular Modeling and Bioinformatics";"Unidad/Grupo de Investigación";"Grupo Investigación propio";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"1702";"870";"878";"1751";"Orgánica Directa";"Q5850017D";"UPF";"Universidad Pompeu Fabra";"Universidad Pompeu Fabra";"Universidad";"Universidad Pública";"Plaça de la Mercè, 10-12";"08002";"8.0";"Barcelona";"9.0";"Cataluña";"https://www.upf.edu/es";"None";"None";"ACTIVO";"None";"None";"None";"Evolutionary Genomics Lab";"Infraestructura";"Infraestructura propia";"Carrer del Dr. Aiguader, 88";"8003";"8.0";"Barcelona";"9.0";"Cataluña";"https://www.upf.edu/web/evolutionary-genomics-lab";"None";"None";"ACTIVO"
"1274";"1291";"1318";"1300";"Nodo de ICTS Distribuida";"None";"NANBIOSIS";"Infraestructura Integrada de Producción y Caracterización de Nanomateriales, Biomateriales y Sistemas en Biomedicina (NANBIOSIS)";"Infraestructura Integrada de Producción y Caracterización de Nanomateriales, Biomateriales y Sistemas en Biomedicina (NANBIOSIS)";"Infraestructura Científico Técnica Singular (ICTS)";"ICTS Distribuida";"None";"None";"None";"None";"None";"Sin localización única";"https://www.nanbiosis.es/";"None";"None";"ACTIVO";"None";"LabIMM";"None";"Laboratorio de Imagen Molecular y Metabolómica";"Infraestructura";"Infraestructura propia";"Carrer Dr. Moliner, 50";"46100";"46.0";"Valencia/València";"10.0";"Comunitat Valenciana";"https://www.uv.es/uvweb/servicio-central-soporte-investigacion-experimental/es/ucim/secciones-ucim/imagen-molecular-metabolomica/presentacion-1285876880949.html";"None";"None";"ACTIVO"
"1724";"160";"160";"1774";"Nodos_ciber";"None";"RNBB";"RED NACIONAL DE BIOBANCOS (RNBB)";"Red Nacional de Biobancos";"Organismo público de I+D Estatal";"Centro de investigación en red";"Calle Monforte de Lemos, 3-5, Madrid";"28029";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"http://www.redbiobancos.es/";"None";"None";"ACTIVO";"None";"None";"None";"Biobanco Hospital Universitario Fundación Alcorcón";"Infraestructura";"Infraestructura propia";"Calle Budapest, 1, Alcorcón";"28922";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.comunidad.madrid/hospital/fundacionalcorcon/profesionales/biobanco";"None";"None";"NO ACTIVO"
"846";"822";"830";"854";"Vinculada";"G17699539";"Parc UdG";"FUNDACIO PARC CIENTIFIC I TECNOLOGI DE LA UNIVERSITAT DE GIRONA";"Parc Científic i Tecnològic de la Universitat de Girona";"Parque científico y/o tecnológico";"Parque de Administración Pública";"Carrer Pic de Peguera 15 (la Creueta), Girona";"17003";"17.0";"Girona";"9.0";"Cataluña";"https://www.parcudg.com/?lang=es";"None";"None";"ACTIVO";"Q6750002E";"UdG";"Universidad de Girona";"Universitat de Girona";"Universidad";"Universidad Pública";"Plaça de Sant Domènec, 3";"17004";"17.0";"Girona";"9.0";"Cataluña";"https://www.udg.edu/ca/";"None";"None";"ACTIVO"
"1245";"869";"877";"1270";"Orgánica Directa";"Q4618002B";"UPV";"Universitat Politècnica de València";"Universitat Politècnica de València";"Universidad";"Universidad Pública";"Camí de Vera, s/n";"46022";"46.0";"Valencia/València";"10.0";"Comunitat Valenciana";"http://www.upv.es/";"None";"None";"ACTIVO";"None";"CBIT";"None";"Centro de Biomateriales e Ingeniería Tisular";"Centro de Investigación";"Centro/Instituto propio";"Camino de Vera, s/n";"46022";"46.0";"Valencia/València";"10.0";"Comunitat Valenciana";"https://cbit.webs.upv.es/";"None";"None";"ACTIVO"
