Id,Entidad,Origen_Solicitud,Identificadores_Origen,Entidad_Norm,CIF,CIF_validacion,Centro,Centro_Norm,Tipo,Provincia_Entidad,Pais_Entidad,Provincia_Centro,PIC,Tipo_Persona,Entidad_Match,Provincia_Match,Match,Final_Score,Id_Centro,Centro_Nombre_match,Centro_Provincia_match,Similitud_Centro
8201,UNIVERSIDAD DE GRANADA,ACT_NAC,660527,aalto university,,1,Aalto University,aalto university,20101,,"724,0000",,,,universidad de granada,18,NIF MCIN,0.2,8201,None,18.0,0.2
8202,UNIVERSIDAD CATÓLICA SAN ANTONIO,ACT_NAC,660702,aarhus university,,1,Aarhus University,aarhus university,20102,,"724,0000",,,,universidad catolica san antonio,30,NIF MCIN,0.1904762,8202,None,30.0,0.1904762
8203,UNIVERSIDAD DE MÁLAGA,ACT_NAC,660555,achucarro basque center for neuroscience,,1,Achucarro Basque Center for Neuroscience,achucarro basque center for neuroscience,20101,,"724,0000",,,,universidad de malaga,29,NIF MCIN,0.26785713,8203,INSTITUTO DE HORTOFRUTICULTURA SUBTROPICAL Y MEDITERRANEA LA MAYORA (IHSM),29.0,0.26785713
8207,CIBER DE ENFERMEDADES NEURODEGENERATIVAS,ACT_NAC,208873,agencia estatal consejo superior de investigaciones cientificas m p,,1,"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P.",agencia estatal consejo superior de investigaciones cientificas m p,20508,,"724,0000",,,,ciber enfermedades neurodegenerativas,28,NIF MCIN,0.112676054,8207,None,15.0,0.112676054
8210,FUNDACION CANARIA PARQUE CIENTIFICO TECNOLOGICO DE LA UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,ACT_NAC,454801,agr fundacion canaria parque cientifico tecnologico de la universidad de las palmas de gran canaria,,1,AGR-FUNDACION CANARIA PARQUE CIENTIFICO TECNOLOGICO DE LA UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,agr fundacion canaria parque cientifico tecnologico de la universidad de las palmas de gran canaria,29999,,"724,0000",,,,fundacion parque cientifico y tecnologico de la universidad de las palmas de gran canaria,35,NIF MCIN,0.5857143,8210,Universidad de Las Palmas de Gran Canaria,35.0,0.5857143
8211,INSTITUTO ESPAÑOL DE OCEANOGRAFIA (IEO),ACT_NAC,273875,agr instituto espanol de oceanografia ieo,,1,AGR-INSTITUTO ESPAÑOL DE OCEANOGRAFIA (IEO),agr instituto espanol de oceanografia ieo,20501,,"724,0000",,,,instituto espanol de oceanografia ieo csic,28,NIF MCIN,0.45714286,8211,CENTRO OCEANOGRAFICO DE CADIZ,11.0,0.45714286
8212,UV,ACT_NAC,337001,aiken tecnologia ocular preventiva,,1,Aiken - Tecnología Ocular Preventiva,aiken tecnologia ocular preventiva,20101,,"724,0000",,,,universitat de valencia,46,NIF MCIN,0.15789473,8212,None,3.0,0.15789473
8213,Universidad Complutense de Madrid,ACT_NAC,271786,alarcos,,1,Alarcos,alarcos,20101,,"724,0000",,,,universidad complutense de madrid,28,NIF MCIN,0.18181819,8213,None,28.0,0.18181819
8214,UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA,ACT_NAC,655252,alma mater studiorum universita di bologna,,1,ALMA MATER STUDIORUM - UNIVERSITÀ DI BOLOGNA,alma mater studiorum universita di bologna,20101,,"724,0000",,,,universidad nacional de educacion a distancia,28,NIF MCIN,0.13043478,8214,None,28.0,0.13043478
8215,UNIVERSIDAD DE EXTREMADURA,ACT_NAC,655430,amsterdam,,1,Ámsterdam,amsterdam,20101,,"724,0000",,,,universidad de extremadura,6,NIF MCIN,0.15384616,8215,None,6.0,0.15384616
