Id,Entidad,Origen_Solicitud,Identificadores_Origen,Entidad_Norm,CIF,CIF_validacion,Centro,Centro_Norm,Tipo,Provincia_Entidad,Pais_Entidad,Provincia_Centro,PIC,Tipo_Persona,Entidad_Match,Provincia_Match,Match,Final_Score,Id_Centro,Centro_Nombre_match,Centro_Provincia_match,Similitud_Centro
8199,CSIC,ACT_NAC,181473,724,,1,724,724,20501,,"77,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.0,8199,CENTRO OCEANOGRAFICO DE MURCIA,30.0,0.0
8200,UNIVERSIDAD DE GRANADA,ACT_NAC,660583,aalborg university,,1,Aalborg University,aalborg university,20101,,"724,0000",,,,universidad de granada,18,NIF MCIN,0.18181819,8200,None,18.0,0.18181819
8201,UNIVERSIDAD DE GRANADA,ACT_NAC,660527,aalto university,,1,Aalto University,aalto university,20101,,"724,0000",,,,universidad de granada,18,NIF MCIN,0.2,8201,None,18.0,0.2
8202,UNIVERSIDAD CATÓLICA SAN ANTONIO,ACT_NAC,660702,aarhus university,,1,Aarhus University,aarhus university,20102,,"724,0000",,,,universidad catolica san antonio,30,NIF MCIN,0.1904762,8202,None,30.0,0.1904762
8203,UNIVERSIDAD DE MÁLAGA,ACT_NAC,660555,achucarro basque center for neuroscience,,1,Achucarro Basque Center for Neuroscience,achucarro basque center for neuroscience,20101,,"724,0000",,,,universidad de malaga,29,NIF MCIN,0.26785713,8203,INSTITUTO DE HORTOFRUTICULTURA SUBTROPICAL Y MEDITERRANEA LA MAYORA (IHSM),29.0,0.26785713
8204,UIB,ACT_NAC,321554,acsic,,1,ACSIC,acsic,20101,,"724,0000",,,,universitat de les illes balears,7,NIF MCIN,0.0882353,8204,INSTITUTO DE FISICA INTERDISCIPLINAR Y SISTEMAS COMPLEJOS IFISC,7.0,0.0882353
8205,UPV,ACT_NAC,336992,adient seating spain s l,,1,"ADIENT SEATING SPAIN, S.L.",adient seating spain s l,20101,,"724,0000",,,,universitat politecnica de valencia,46,NIF MCIN,0.14285715,8205,None,46.0,0.14285715
8206,UNIVERSIDAD DE MÁLAGA,ACT_NAC,660533,advanced electronics and photonics research centre,,1,Advanced Electronics and Photonics Research Centre,advanced electronics and photonics research centre,20101,,"724,0000",,,,universidad de malaga,29,NIF MCIN,0.26229507,8206,INSTITUTO DE HORTOFRUTICULTURA SUBTROPICAL Y MEDITERRANEA LA MAYORA (IHSM),29.0,0.26229507
8207,CIBER DE ENFERMEDADES NEURODEGENERATIVAS,ACT_NAC,208873,agencia estatal consejo superior de investigaciones cientificas m p,,1,"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P.",agencia estatal consejo superior de investigaciones cientificas m p,20508,,"724,0000",,,,ciber enfermedades neurodegenerativas,28,NIF MCIN,0.112676054,8207,None,15.0,0.112676054
8208,ASOCIACIÓN CENTRO DE INVESTIGACION COOP. BIOMATERIALES,ACT_NAC,479820,agr asociacion centro de investigacion coop biomateriales,,1,AGR-ASOCIACIÓN CENTRO DE INVESTIGACION COOP. BIOMATERIALES,agr asociacion centro de investigacion coop biomateriales,29999,,"724,0000",,,,asociacion centro de investigacion cooperativa en biomateriales,20,NIF MCIN,0.37931034,8208,Plataforma de Imagen Molecular y Funcional de CIC-biomaGUNE,20.0,0.37931034
