Id,Entidad,Origen_Solicitud,Identificadores_Origen,Entidad_Norm,CIF,CIF_validacion,Centro,Centro_Norm,Tipo,Provincia_Entidad,Pais_Entidad,Provincia_Centro,PIC,Tipo_Persona,Entidad_Match,Provincia_Match,Match,Final_Score,Id_Centro,Centro_Nombre_match,Centro_Provincia_match,Similitud_Centro
8199,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS,ACT_NAC,337320,724,,1,724,724,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.0,8199,CENTRO OCEANOGRAFICO DE MURCIA,30.0,0.0
8200,UNIVERSIDAD DE GRANADA,ACT_NAC,660583,aalborg university,,1,Aalborg University,aalborg university,20101,,"724,0000",,,,universidad de granada,18,NIF MCIN,0.18181819,8200,None,18.0,0.18181819
8204,UIB,ACT_NAC,321554,acsic,,1,ACSIC,acsic,20101,,"724,0000",,,,universitat de les illes balears,7,NIF MCIN,0.0882353,8204,INSTITUTO DE FISICA INTERDISCIPLINAR Y SISTEMAS COMPLEJOS IFISC,7.0,0.0882353
8205,UPV,ACT_NAC,336992,adient seating spain s l,,1,"ADIENT SEATING SPAIN, S.L.",adient seating spain s l,20101,,"724,0000",,,,universitat politecnica de valencia,46,NIF MCIN,0.14285715,8205,None,46.0,0.14285715
8206,UNIVERSIDAD DE MÁLAGA,ACT_NAC,660533,advanced electronics and photonics research centre,,1,Advanced Electronics and Photonics Research Centre,advanced electronics and photonics research centre,20101,,"724,0000",,,,universidad de malaga,29,NIF MCIN,0.26229507,8206,INSTITUTO DE HORTOFRUTICULTURA SUBTROPICAL Y MEDITERRANEA LA MAYORA (IHSM),29.0,0.26229507
8208,ASOCIACIÓN CENTRO DE INVESTIGACION COOP. BIOMATERIALES,ACT_NAC,479820,agr asociacion centro de investigacion coop biomateriales,,1,AGR-ASOCIACIÓN CENTRO DE INVESTIGACION COOP. BIOMATERIALES,agr asociacion centro de investigacion coop biomateriales,29999,,"724,0000",,,,asociacion centro de investigacion cooperativa en biomateriales,20,NIF MCIN,0.37931034,8208,Plataforma de Imagen Molecular y Funcional de CIC-biomaGUNE,20.0,0.37931034
8209,CENTRE INTERNACIONAL DE METODES NUMERICS A L ENGINYERIA,ACT_NAC,448449,agr centre internacional de metodes numerics a l enginyeria,,1,AGR-CENTRE INTERNACIONAL DE METODES NUMERICS A L ENGINYERIA,agr centre internacional de metodes numerics a l enginyeria,29999,,"724,0000",,,,international centre for numerical methods in engineering,8,NIF MCIN,0.4680851,8209,CENTRO DE INNOVACION DEL TRANSPORTE,8.0,0.4680851
8216,ASOCIACION NACIONAL FABRICANTES DE CONSERVAS DE PESCADOS Y MARISCOS-ANFACO - CECOPESCA,ACT_NAC,592310,anfaco cecopesca,,1,ANFACO - CECOPESCA,anfaco cecopesca,22001,,"724,0000",,,,asociacion nacional fabricantes conservas pescados y mariscos,36,NIF MCIN,0.2857143,8216,CENTRO TECNOLOGICO DEL MAR CETMAR,36.0,0.2857143
8218,UNIVERSIDAD DE LEON,ACT_NAC,32045,area biologia celular instituto de biomedicina,,1,Área Biología Celular. Instituto de Biomedicina,area biologia celular instituto de biomedicina,20101,,"724,0000",,,,universidad de leon,24,NIF MCIN,0.38709676,8218,Caléndula del Centro de Supercomputación de CyL,24.0,0.38709676
8221,FUNDACION PUBLICA ANDALUZA PROGRESO Y SALUD,ACT_NAC,417829,area de variabilidad del adn humano,,1,ÁREA DE VARIABILIDAD DEL ADN HUMANO,area de variabilidad del adn humano,20510,,"724,0000",,,,fundacion publica andaluza progreso y salud,41,NIF MCIN,0.14814815,8221,BIOINFORMATICS AREA,None,0.14814815
