"Id";"Entidad";"Origen_Solicitud";"Identificadores_Origen";"Entidad_Norm";"CIF";"CIF_validacion";"Centro";"Centro_Norm";"Tipo";"Provincia_Entidad";"Pais_Entidad";"Provincia_Centro";"PIC";"Tipo_Persona";"Entidad_Match";"Provincia_Match";"Match"
877;"Universitat de València";"ACT_NAC";202054;"universitat de valencia";"Q4618001D";"1";"FACULTAD DE QUIMICA";"facultad de quimica";"20101";"";"724,0000";"";"";"";"universitat de valencia";46;"NIF MCIN"
1880;"FUNDACION INVESTIGACION E INNOVACION BIO SANITARIA DEL PRINCIPADO DE ASTURIAS FINBA";"ACT_NAC";30770;"fundacion investigacion e innovacion bio sanitaria del principado de asturias finba";"G74361817";"1";"INSTITUTO DE INVESTIGACION SANITARIA DEL PRINCIPADO DE ASTURIAS (ISPA)";"instituto de investigacion sanitaria del principado de asturias ispa";"29900";"";"724,0000";"";"";"";"fundacion para la investigacion biosanitaria de asturias";33;"NIF MCIN"
832;"Universidad de Alcalá";"ACT_NAC";251217;"universidad de alcala";"Q2818018J";"1";"Facultad de Ciencias";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad de alcala";28;"NIF MCIN"
860;"UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE";"ACT_NAC";646753;"universidad miguel hernandez de elche";"Q5350015C";"1";"DPTO. SALUD PUBLICA, HISTORIA DE LA CIENCIA Y GINECOLOGIA";"dpto salud publica historia de la ciencia y ginecologia";"20101";"";"724,0000";"";"";"";"universidad miguel hernandez de elche";3;"NIF MCIN"
872;"Universidad Rey Juan Carlos";"ACT_NAC";737818;"universidad rey juan carlos";"Q2803011B";"1";"Unidad de Postgrado";"unidad de postgrado";"20101";"";"724,0000";"";"";"";"universidad rey juan carlos";28;"NIF MCIN"
1853;"FUNDACION INSTITUTO INV GERMANS TRIAS I PUJOL";"ACT_NAC";354675;"fundacion instituto inv germans trias i pujol";"G60805462";"1";"INSTITUTO DE INVESTIGACION GERMANS TRIAS I PUJOL (IGTP)";"instituto de investigacion germans trias i pujol igtp";"20502";"";"724,0000";"";"";"";"fundacio institut d investigacio en ciencies de la salut germans trias i pujol";8;"NIF MCIN"
237;"CSIC";"ACT_NAC";124943;"csic";"Q2818002D";"1";"77";"77";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
3982;"HIBERUS TECNOLOGIAS DE LA INFORMACION, SL.";"ACT_NAC";725526;"hiberus tecnologias de la informacion sl";"B99344319";"1";"HIBERUS TECNOLOGIAS DE LA INFORMACION, SL.";"hiberus tecnologias de la informacion sl";"29999";"";"724,0000";"";"";"";"hiberus tecnologias de la informacion sl";50;"NIF MCIN"
875;"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA";"ACT_NAC";444270;"universidade de santiago de compostela";"Q1518001A";"1";"ESTACION DE HIDROBIOLOXIA ENCORO DO CON";"estacion de hidrobioloxia encoro do con";"20101";"";"724,0000";"";"";"";"universidad de santiago de compostela";15;"NIF MCIN"
1990;"FIMA (FUNDACIÓN PARA LA INVESTIGACIÓN MÉDICA APLICADA)";"ACT_NAC";561052;"fima fundacion para la investigacion medica aplicada";"G82198524";"1";"FIMA (FUNDACIÓN PARA LA INVESTIGACIÓN MÉDICA APLICADA)";"fima fundacion para la investigacion medica aplicada";"22001";"";"724,0000";"";"";"";"fundacion para la investigacion medica aplicada";31;"NIF MCIN"
