"Id_NIVEL_1";"Id_NIVEL_0";"ID_ENTIDAD_NIVEL_0";"ID_ENTIDAD_NIVEL_1";"Jerarquia";"NIF_COD_NIVEL_0";"ACRONIMO_NIVEL_0";"NOMBRE_ENTIDAD_NIVEL_0";"Nombre_Entidad_Mostrar_NIVEL_0";"TIPO_ENTIDAD_N1_1_NIVEL_0";"TIPO_ENTIDAD_N2_1_NIVEL_0";"DIRECCION_POSTAL_NIVEL_0";"COD_POSTAL_NIVEL_0";"COD_PROVINCIA_NIVEL_0";"PROVINCIA_NIVEL_0";"COD_CCAA_NIVEL_0";"CCAA_NIVEL_0";"ENLACE_WEB_NIVEL_0";"SOMMA_NIVEL_0";"TIPO_ENTIDAD_REGIONAL_NIVEL_0";"ESTADO_x_NIVEL_0";"NIF_COD_NIVEL_1";"ACRONIMO_NIVEL_1";"NOMBRE_ENTIDAD_NIVEL_1";"Nombre_Entidad_Mostrar_NIVEL_1";"TIPO_ENTIDAD_N1_1_NIVEL_1";"TIPO_ENTIDAD_N2_1_NIVEL_1";"DIRECCION_POSTAL_NIVEL_1";"COD_POSTAL_NIVEL_1";"COD_PROVINCIA_NIVEL_1";"PROVINCIA_NIVEL_1";"COD_CCAA_NIVEL_1";"CCAA_NIVEL_1";"ENLACE_WEB_NIVEL_1";"SOMMA_NIVEL_1";"TIPO_ENTIDAD_REGIONAL_NIVEL_1";"ESTADO_x_NIVEL_1"
"648";"831";"839";"655";"Vinculada";"Q6550005J";"UDC";"Universidad de A Coruña";"Universidad de A Coruña";"Universidad";"Universidad Pública";"Rúa Maestranza, 9";"15001";"15.0";"Coruña, A";"12.0";"Galicia";"https://udc.gal/es/";"None";"None";"ACTIVO";"G36885853";"CETMAR";"CENTRO TECNOLOGICO DEL MAR CETMAR";"Centro Tecnológico del Mar";"Centro tecnológico y de apoyo a la innovación tecnológica";"Otros centros tecnológicos y de apoyo a la innovación tecnológica";"Rúa De Eduardo Cabello, s/n,";"36208";"36.0";"Pontevedra";"12.0";"Galicia";"https://cetmar.org";"None";"None";"ACTIVO"
"1939";"832";"840";"1990";"Vinculada";"Q2818018J";"UAH";"Universidad de Alcalá";"Universidad de Alcalá";"Universidad";"Universidad Pública";"Plaza de San Diego, s/n, Alcalá de Henares";"28801";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.uah.es/es/";"None";"None";"ACTIVO";"G80090863";"None";"FUNDACION GENERAL DE LA UNIVERSIDAD DE ALCALA DE HENARES";"Fundación General de La Universidad de Alcala de Henares";"Entidad de Gestión, Promoción y Fomento de la I+D";"De universidad";"None";"28801";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"None";"None";"None";"ACTIVO"
"505";"836";"844";"510";"Orgánica Directa";"Q2818013A";"UAM";"Universidad Autónoma de Madrid";"Universidad Autónoma de Madrid";"Universidad";"Universidad Pública";"Ciudad Universitaria de Cantoblanco";"28049";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"http://www.uam.es/";"None";"None";"ACTIVO";"G81511404";"IFTH";"INSTITUTO FUNDACION TEOFILO HERNANDO";"Instituto Fundación Teófilo Hernando";"Centro de Investigación";"Centro/Instituto propio";"Calle Faraday, 7, Campus de Cantoblanco UAM, Madrid";"28049";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"http://www.ifth.es/";"None";"None";"ACTIVO"
"1361";"873";"881";"1406";"Orgánica Directa";"Q9350003A";"URV";"Universidad Rovira i Virgili";"Universidad Rovira i Virgili";"Universidad";"Universidad Pública";"Carrer de l'Escorxador, s/n";"43007";"43.0";"Tarragona";"9.0";"Cataluña";"https://www.urv.cat/es/";"None";"None";"ACTIVO";"None";"EMaS";"None";"Research Center on Engineering of Materials and micro/nanoSystems";"Centro de Investigación";"Centro/Instituto Propio";"Carrer Marcel·li Domingo, s/n, Campus Sescelades";"43007";"43.0";"Tarragona";"9.0";"Cataluña";"https://www.urv.cat/centres_recerca/emas/en/index.html";"None";"None";"ACTIVO"
"1803";"893";"901";"1853";"Orgánica Directa";"G40155384";"IE";"IE Universidad";"IE Universidad";"Universidad";"Universidad Privada";"Calle Cardenal Zúñiga, 12";"40003";"40.0";"Segovia";"7.0";"Castilla y León";"https://www.ie.edu/es/";"None";"None";"ACTIVO";"None";"None";"None";"Centro de Diversidad";"Centro de Investigación";"Centro/Instituto Propio";"Pedro de Valdivia, 21";"28006";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://centerfordiversity.ie.edu/";"None";"None";"NO ACTIVO"
"531";"237";"239";"536";"Orgánica Indirecta";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO";"None";"IGME Las Palmas";"Oficina de proyectos del IGME Las Palmas de Gran Canaria";"Oficina de Proyectos del IGME Las Palmas de Gran Canaria";"Entidad de Gestión, Promoción y Fomento de la I+D";"Entidad de Gestión, Promoción y Fomento de la I+D";"Calle Alonso Alvarado, 43 - 2ºA";"35003";"35.0";"Palmas, Las";"5.0";"Canarias";"http://www.igme.es/directorio/oficinas.htm";"None";"None";"ACTIVO"
"849";"299";"302";"857";"Nodos_ciber";"V84884428";"CIBEROBN";"CIBER FISIOPATOLOGIA DE LA OBESIDAD Y NUTRICION CIBEROBN";"CIBER Fisiopatología de la Obesidad y Nutrición";"Organismo público de I+D Estatal";"Centro de investigación en red";"Avenida Monforte de Lemos, 3-5";"28029";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.ciberobn.es/";"None";"None";"ACTIVO";"Q0718001A";"UIB";"Universitat de les Illes Balears";"Universitat de les Illes Balears";"Universidad";"Universidad Pública";"Carretera de Valldemossa, km 7.5";"07122";"7.0";"Balears, Illes";"4.0";"Balears, Illes";"https://www.uib.es/es/";"None";"None";"ACTIVO"
"237";"933";"947";"239";"Punto de presencia de ICTS";"None";"REDIRIS";"Red Académica y de Investigación Española (RedIRIS)";"Red Académica y de Investigación Española";"Infraestructura Científico Técnica Singular (ICTS)";"ICTS en Red";"None";"None";"None";"Madrid";"None";"Sin localización única";"https://www.rediris.es/";"None";"None";"ACTIVO";"Q2818002D";"CSIC";"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICA, M.P. CSIC";"Consejo Superior de Investigaciónes Científicas (CSIC)";"Organismo público de I+D Estatal";"Organismo público de investigación de la AGE (OPI)";"Calle de Serrano, 117";"28010";"28.0";"Madrid";"13.0";"Madrid, Comunidad de";"https://www.csic.es/";"None";"None";"ACTIVO"
"1416";"852";"860";"1461";"Orgánica Directa";"Q7350006H";"UJAEN";"Universidad de Jaén";"Universidad de Jaén";"Universidad";"Universidad Pública";"Campus Las Lagunillas, s/n, Jaén";"23071";"23.0";"Jaén";"1.0";"Andalucía";"https://www.ujaen.es/";"None";"None";"ACTIVO";"None";"IC1";"None";"Instituto Interuniversitario Carlos I de Física Teórica y Computacional";"Centro de Investigación";"Centro/Instituto Mixto";"Calle Dr. Severo Ochoa";"18701";"18.0";"Granada";"1.0";"Andalucía";"https://ic1.es/";"None";"None";"ACTIVO"
"358";"865";"873";"362";"Orgánica Directa";"Q4818001B";"UPV/EHU";"Universidad del País Vasco/Euskal Herriko Unibertsitatea";"Universidad del País Vasco - Euskal Herriko Unibertsitatea";"Universidad";"Universidad Pública";"Barrio Sarriena, s/n, Leioa";"48940";"48.0";"Bizkaia";"16.0";"País Vasco";"https://www.ehu.eus/es/";"None";"None";"ACTIVO";"None";"IBF";"INSTITUTO BIOFISIKA";"Instituto Biofisika";"Organismo de I+D Regional";"Centro/Instituto mixto";"Barrio Santsoena, 6A, Leioa";"48940";"48.0";"Bizkaia";"16.0";"País Vasco";"https://biofisika.org";"None";"BERC";"ACTIVO"
